Date,Change...,y,atr,trueHigh,macd,signal,dn,up,chaikinAD,tdi,di,TRIX
2000-08-22,0.049821473,1,23.44900013,739.02,-1.439608771,-2.140078822,-679.4214053,-760.1462614,-69897.11561,-1385.38,-1067.88,-0.256061712
2000-08-23,0.058217463,1,23.29764297,740.7,-1.44010808,-2.000084673,-679.4450841,-759.3885826,-356670.6599,-1040.19,-1394.37,-0.253689683
2000-08-24,0.39317023,1,23.26138276,729,-1.434674569,-1.887002653,-679.3964859,-757.3805141,-324352.2347,-723.07,-1693.3,-0.251180206
2000-08-25,0.002782183,1,22.97985542,729.9,-1.294394238,-1.76848097,-679.3449975,-757.0796691,-51678.47075,-467.36,-1951.76,-0.247192941
2000-08-28,-0.126061935,-1,21.97843718,735.32,-1.147691949,-1.644323166,-681.6509223,-758.0157444,7181.692197,-284.41,-2179.57,-0.24176929
2000-08-29,0.260996707,1,21.59997738,739.53,-1.022377082,-1.519933949,-684.5566551,-758.5396782,18420.86366,-157.25,-2365.42,-0.235234438
2000-08-30,-0.673902346,-1,20.95926471,731.56,-1.050825956,-1.42611235,-684.7464984,-758.6761683,-199136.1363,-50.46,-2510.46,-0.229269092
2000-08-31,-0.767807714,-1,22.05146009,718.93,-1.395369553,-1.419963791,-681.4715785,-758.8580882,-360688.5493,97.35,-2622.23,-0.227135954
2000-09-01,0.335453516,1,21.40207008,698.28,-1.613004694,-1.458571971,-677.988589,-758.9480777,-348508.9336,158.07,-2665.3,-0.227327658
2000-09-04,-0.179141565,-1,21.02406507,693.66,-1.889105106,-1.544678598,-674.0897139,-760.2126195,-468254.7399,258.68,-2750.01,-0.230313169
2000-09-05,-0.522530456,-1,20.734489,685.05,-2.11032803,-1.657808485,-673.1060869,-760.7532464,-400061.3132,209.13,-2710.15,-0.235365498
2000-09-06,-0.248807491,-1,20.47345407,690.99,-2.291401062,-1.784527,-674.9204984,-759.7028349,-542967.3179,162.35,-2662.93,-0.241945603
2000-09-07,-2.009782914,-1,20.60606449,676.69,-2.642066658,-1.956034932,-666.1535271,-764.3748062,-690493.4001,219.82,-2689.79,-0.251656209
2000-09-08,0.318417965,1,20.28277417,664.07,-2.923431008,-2.149514147,-656.5220568,-767.7166098,-778968.854,237.84,-2672.2,-0.263587479
2000-09-14,-2.597601273,-1,21.14971887,653.68,-3.156884293,-2.350988176,-644.5648446,-771.6171554,-459205.854,169.31,-2636.41,-0.2770992
2000-09-15,-1.23665672,-1,21.86045324,652.5,-3.566648753,-2.594120291,-633.2256737,-772.676993,-649783.1049,147.39,-2661.11,-0.293803705
2000-09-18,-5.76567972,-1,25.68613515,628.2,-4.462276929,-2.967751619,-608.3359388,-780.0387278,-595971.5311,242.99,-2782.37,-0.31817258
2000-09-19,-2.186785788,-1,26.02783978,587.21,-5.217137289,-3.417628753,-587.8321476,-783.1381858,-613282.9148,320.2,-2882.54,-0.348224222
2000-09-20,4.053084021,1,26.78370837,607.78,-5.338786791,-3.801860361,-577.6833518,-780.0356482,-358488.8291,328.25,-2938.75,-0.377501146
2000-09-21,-0.424036431,-1,27.38701492,613.01,-5.506802659,-4.14284882,-567.3531434,-777.4495233,-346653.2438,319.17,-2980.52,-0.406438374
2000-09-22,-3.646034329,-1,28.64437099,595.99,-6.126797743,-4.539638605,-552.0541158,-775.4785509,-601308.3856,254.24,-2999.51,-0.439215383
2000-09-25,1.724356078,1,28.85477306,584.84,-6.16061524,-4.863833932,-542.4534746,-770.1488587,-279149.5108,136,-2955.49,-0.470112867
2000-09-26,-1.313651369,-1,28.17943213,593.72,-6.085940337,-5.108255213,-535.4955106,-763.8258228,-130128.1356,140.55,-2978.48,-0.498218316
2000-09-27,-0.175289312,-1,27.29875841,601.02,-5.811006272,-5.248805425,-532.0055378,-754.4897956,157779.6808,163.58,-3019,-0.521839214
2000-09-28,1.216398859,1,26.38884709,610.53,-5.446235421,-5.288291424,-532.1393462,-741.6513204,275717.538,178.28,-3038.67,-0.540392725
2000-09-29,1.033259058,1,25.94678659,620.08,-5.00317264,-5.231267667,-535.0716582,-726.6936751,380987.3835,230.64,-3070.73,-0.553427477
2000-10-02,-2.860311144,-1,26.07130183,613.22,-4.912119889,-5.167438112,-536.7677013,-711.948632,270796.5568,328.95,-3148.58,-0.564521441
2000-10-04,-1.841417467,-1,26.12620884,598.42,-4.667135274,-5.067377544,-536.5699957,-701.6033376,582384.5568,450.86,-3218.61,-0.572369649
2000-10-05,1.234918619,1,25.53147964,616.22,-4.31325107,-4.916552249,-539.4518476,-690.4371524,319348.302,518.87,-3238.06,-0.57614316
2000-10-06,-0.860264671,-1,24.38423109,610.52,-3.959937182,-4.725229236,-542.5628266,-679.5898401,558607.9631,565.18,-3236.74,-0.576072973
2000-10-09,-0.335057896,-1,24.0475003,608.85,-3.896374184,-4.559458226,-545.3451999,-668.5704668,215479.9631,650.56,-3283.04,-0.575120645
2000-10-10,-0.078074612,-1,23.58625028,595.79,-3.81533777,-4.410634134,-550.3125804,-654.2944196,258839.4292,713.46,-3282.81,-0.573206124
2000-10-11,-2.02263997,-1,24.7622324,588.34,-4.12501388,-4.353510084,-549.1685628,-645.6744372,144075.7628,820.07,-3326.49,-0.574110751
2000-10-12,-1.568613374,-1,25.09207295,564.09,-4.632780079,-4.409364083,-546.0910851,-637.6775816,-115593.2372,943.74,-3411.62,-0.579560634
2000-10-13,-3.719773335,-1,25.88192488,534.71,-5.131137275,-4.553718721,-534.5590597,-636.7872737,187707.9893,1036.94,-3504.89,-0.589204994
2000-10-16,6.197102554,1,26.98178739,565.88,-5.124097728,-4.667794522,-533.748956,-629.500044,54129.76711,1115.08,-3589.96,-0.598127164
2000-10-17,-2.526813307,-1,27.71523114,550.1,-5.58683973,-4.851603564,-524.9116226,-633.1820441,-259544.2329,1186,-3702.64,-0.61068327
2000-10-18,-2.293068149,-1,28.20271463,519.54,-5.883087639,-5.057900379,-513.0258529,-638.5208138,15112.86613,1146.18,-3768.41,-0.625119822
2000-10-19,-0.774063053,-1,27.95323502,531.2,-6.048297752,-5.255979854,-505.2061735,-637.8281598,-81163.33501,1193.55,-3858.85,-0.64011899
2000-10-20,4.978254116,1,28.78586109,554.65,-5.670495804,-5.338883044,-502.9266783,-635.2519884,-165152.0356,1142.41,-3892.42,-0.650711143
2000-10-23,1.674084657,1,28.78829958,556,-5.565790866,-5.384264608,-500.3659264,-635.4487402,-413905.4637,1274.49,-3984.64,-0.659598698
2000-10-24,-0.191153926,-1,28.64413533,549.79,-5.181319762,-5.343675639,-497.4967081,-634.5149586,-212654.9016,1392.4,-4055.33,-0.664315995
2000-10-25,-0.939363361,-1,27.51741137,545.86,-4.861061693,-5.24715285,-494.9838306,-632.5458361,-73552.12533,1392.11,-4081.9,-0.665656991
2000-10-26,-2.592517471,-1,27.30259628,542.33,-4.828024272,-5.163327134,-490.9455892,-629.4774108,-94688.46251,1465.71,-4137.91,-0.666447831
2000-10-27,0.939522982,1,26.74526797,534.84,-4.873657601,-5.105393228,-487.9873622,-624.2079711,-378946.4625,1593.79,-4230.2,-0.667462736
2000-10-30,-0.100904257,-1,25.92632026,520.01,-5.016686496,-5.087651881,-485.0008721,-617.0707946,-664674.4625,1614.79,-4275.9,-0.669604806
2000-10-31,-1.414617716,-1,26.2815831,514.48,-4.932483396,-5.056618184,-480.3471972,-613.0164695,-314034.4625,1407.07,-4189.44,-0.670742971
2000-11-01,1.984528067,1,26.94575573,550.06,-4.300309943,-4.905356536,-480.8497323,-607.6199344,17484.52283,1172.15,-4054.69,-0.665867133
2000-11-02,-0.878343903,-1,26.66748747,563.98,-3.617079903,-4.647701209,-485.221648,-597.7730187,243313.9111,1047.92,-3986.67,-0.654742825
2000-11-03,0.967568536,1,25.52623836,567.07,-3.006656891,-4.319492346,-490.5233478,-587.9193188,143300.3498,927.72,-3908.24,-0.638311231
2000-11-06,-0.494280973,-1,25.56436419,581.47,-2.549348014,-3.965463479,-494.496643,-580.8886904,-239853.4169,782.98,-3782.49,-0.618270239
2000-11-07,0.698810764,1,24.73762389,564.38,-2.210369099,-3.614444603,-498.3291946,-573.9158054,-439780.0237,776.83,-3732.32,-0.59594662
2000-11-08,-0.748170236,-1,24.1935079,562.89,-1.850374387,-3.26163056,-498.6725955,-573.0670712,-284182.7901,660.72,-3639.2,-0.571267897
2000-11-09,-1.549929223,-1,23.50254305,562.66,-1.509966299,-2.911297708,-498.3221776,-574.682489,-49502.02147,528.88,-3547.88,-0.544560496
2000-11-10,-0.485142511,-1,22.6973614,567.34,-1.16082905,-2.561203976,-500.2112485,-577.4187515,158875.7071,433.52,-3472.19,-0.515856283
2000-11-13,-2.254149121,-1,23.12826416,565.18,-1.253779994,-2.29971918,-500.1945472,-576.3904528,-28986.97962,355.71,-3426.44,-0.489720782
2000-11-14,0.8516718,1,22.47981672,552.99,-1.109067321,-2.061588808,-501.8156823,-577.393651,224061.0204,152.17,-3300.75,-0.463700157
2000-11-15,2.426806995,1,22.12197267,570.36,-0.918029573,-1.832876961,-506.7895616,-577.8204384,69693.81775,-21.99,-3196.62,-0.437351322
2000-11-16,0.066370094,1,21.30683176,561.17,-0.793174241,-1.624936417,-510.1489739,-578.2590261,24728.91112,-111.22,-3126.84,-0.411388596
2000-11-17,-1.19090516,-1,20.60205807,555.04,-0.740906918,-1.448130517,-510.1969307,-578.3780693,356448.9111,-166.04,-3070.7,-0.386563469
2000-11-20,-1.356891485,-1,20.13191106,551.26,-0.892245709,-1.336953556,-510.4874563,-578.4425437,75680.50027,-309.99,-2973.05,-0.364936495
2000-11-21,-1.468180127,-1,20.2646317,537.4,-1.0881772,-1.287198284,-508.9518149,-578.6598518,368829.5003,-384.32,-2898.49,-0.346826346
2000-11-22,-1.119578512,-1,19.69858658,532.95,-1.364321218,-1.302622871,-507.2919126,-578.8100874,141914.8406,-554.83,-2771.66,-0.332879407
2000-11-23,-1.311431471,-1,19.01511611,522.54,-1.686070903,-1.379312478,-505.9500222,-579.3839778,-53247.24526,-814.65,-2596.97,-0.323330779
2000-11-24,0.746631409,1,18.83760782,530.84,-1.676818685,-1.438813719,-506.5397499,-579.1769168,262301.7547,-1121.37,-2383.52,-0.314561853
2000-11-27,2.153191169,1,19.14920726,554.04,-1.307448053,-1.412540586,-511.781031,-577.964969,655221.7547,-1391.84,-2198.12,-0.302827899
2000-11-28,-1.732726879,-1,19.07283531,554.04,-1.255569197,-1.381146308,-519.1788259,-574.1561741,372934.3627,-1734.69,-1967.95,-0.291501012
2000-11-29,-2.599918054,-1,19.4969185,536.94,-1.504644421,-1.405845931,-515.210225,-575.7831084,321311.5545,-1977.18,-1791.23,-0.283634546
2000-11-30,0.460847339,1,19.4828529,518.82,-1.792860621,-1.483248869,-509.4030802,-577.0755864,323241.6084,-2238.96,-1619.89,-0.279421781
2000-12-01,-3.603479764,-1,19.87193483,514.46,-1.922687667,-1.571136628,-504.0891766,-576.8758234,653162.6084,-2376.35,-1516.07,-0.277023117
2000-12-04,1.104070287,1,19.9382252,520.52,-2.196897246,-1.696288752,-500.2575494,-574.9884506,437275.8075,-2592.8,-1391.84,-0.277771716
2000-12-05,0.671676001,1,19.60263769,516.97,-2.158361601,-1.788703322,-497.5204466,-573.3505534,694150.1061,-2767.04,-1288.29,-0.278295612
2000-12-06,3.52638502,1,19.89316357,540.63,-2.090028592,-1.848968376,-496.9540904,-570.9049096,302919.8917,-2883.21,-1198.69,-0.278273653
2000-12-07,-0.079167391,-1,19.39508045,523.78,-1.923323623,-1.863839425,-496.1719728,-567.9190272,603899.8917,-3069.34,-1068.57,-0.276710562
2000-12-08,-0.072549544,-1,18.87186042,535.47,-1.603105671,-1.811692674,-497.4461511,-563.5131822,890118.8643,-3315.9,-914.3,-0.272098649
2000-12-11,1.617396833,1,19.16529896,557.79,-1.032211015,-1.655796342,-496.9843148,-564.9156852,1116621.792,-3535.14,-740.76,-0.261986367
2000-12-12,0.255948089,1,18.97563475,558.5,-0.750831897,-1.474803453,-497.0951944,-564.6068056,838105.9602,-3540.36,-649.08,-0.249614742
2000-12-13,-0.50268837,-1,19.09523227,560.16,-0.301935741,-1.240229911,-497.9088439,-563.0191561,1072831.943,-3437.1,-617.59,-0.2333408
2000-12-14,-1.738849849,-1,18.95342996,557.84,-0.103793984,-1.012942726,-498.5659505,-561.5730495,1054706.714,-3406.34,-580.33,-0.215991602
2000-12-15,-0.520662063,-1,18.85961354,551.29,-0.146201113,-0.839594403,-498.9484641,-560.2845359,768679.0393,-3337.08,-571.16,-0.200186427
2000-12-18,-0.867041199,-1,18.39892686,541.78,-0.099500187,-0.69157556,-498.9899656,-559.8503678,918301.2311,-3197.35,-591.96,-0.184928256
2000-12-19,0.363454299,1,17.87543208,541.25,-0.187627875,-0.590786023,-499.3639861,-560.2736806,660633.5771,-3155.91,-583.23,-0.171636204
2000-12-20,-2.53014318,-1,17.85290122,530.8,-0.502390648,-0.573106948,-498.5870769,-560.2955898,403377.0073,-3048.42,-597.6,-0.162616454
2000-12-21,-3.035724704,-1,17.89555113,515.76,-0.779764585,-0.614438475,-497.3093422,-560.7636578,572206.1423,-2946.99,-607.71,-0.157235748
2000-12-22,0.515725728,1,17.93801176,518.9,-1.1611237,-0.72377552,-494.9026179,-561.2673821,246346.6144,-2847.39,-631.62,-0.156360231
2000-12-26,1.695964842,1,17.32458235,509.95,-1.388666419,-0.8567537,-492.8813126,-558.8173541,174831.109,-2841.6,-591.66,-0.158097044
2001-01-02,-0.259601284,-1,17.54211218,521.34,-1.303157541,-0.946034468,-491.9173061,-557.2163606,397000.1738,-2720.1,-587.47,-0.159012837
2001-01-03,-1.575966983,-1,17.28053274,524.58,-1.214031463,-0.999633867,-492.0789698,-557.2333636,574258.5831,-2620.86,-582.58,-0.159086775
2001-01-04,5.772586924,1,19.31263755,567.16,-0.57430274,-0.914567642,-492.1933357,-562.0696643,518725.1535,-2605.81,-527.85,-0.152566695
2001-01-05,0.272391671,1,19.79102058,581.41,0.270946378,-0.677464838,-491.7067933,-569.1965401,1072109.949,-2636.85,-440.67,-0.137520314
2001-01-08,-1.227511406,-1,19.47951911,587.91,1.006236399,-0.34072459,-490.8840793,-577.5215874,1539518.047,-2640.23,-339.64,-0.115451956
