Date,Close,Open,High,Low,Change...,y,Volume,tr,atr,trueHigh,trueLow,DIp,DIn,DX,ADX,macd,signal,sar,vClose,dn,mavg,up,pctB,rsi,fastK,fastD,slowD,williamsAD,aroonUp,aroonDn,oscillator,cci,chaikinAD,cmf,emv,maEMV,tdi,di,TRIX,signal,vhf.close,roc
2000-06-08,800.11,825.56,842.13,795.99,0.367155397,1,669049,46.14,34.30384076,842.13,795.99,39.10462546,21.66410569,28.69982545,18.22817562,0.734313428,-1.608971007,668.7699712,0.525347294,-636.9165555,-726.9213333,-816.9261112,-0.976763579,59.49556499,0.806350523,0.924892531,0.92140358,-406.01,100,65,35,157.9619663,-826973.8984,0.087607563,7.734263111,5.407701419,1217.58,-3275.36,-0.368998753,-0.430395767,0.302701622,-0.027647895
2000-06-09,836.4,800.28,836.82,790.43,0.021247079,1,506778,46.39,35.16713785,836.82,790.43,35.41972728,20.7520586,26.1121637,18.79131762,1.576274608,-0.971921884,689.5731746,0.533860746,-631.8785793,-730.0175,-828.1564207,-0.964643212,64.11360438,0.973593253,0.925906586,0.935147848,-360.04,95,60,35,154.9204758,-329372.3054,0.156234995,-4.975149868,7.397232571,861.37,-3049.53,-0.323937581,-0.420256892,0.320704423,0.044357749
2000-06-12,845.81,851.06,858.34,828.66,1.75274988,1,516737,29.68,34.77519943,858.34,828.66,37.68084825,19.48684706,31.82566848,19.72234268,2.301712769,-0.317194953,707.8799937,0.527203448,-624.9337425,-734.8913333,-844.8489242,-0.997367512,65.22089296,0.946269297,0.908737691,0.919845603,-342.89,100,55,45,163.470841,-248936.829,0.180657582,17.15940604,13.54124864,450.26,-2786.76,-0.273430215,-0.406273399,0.344622309,0.011187781
2000-06-13,804.45,833.18,835.29,800.32,-1.493243163,-1,426604,45.49,35.54054233,845.81,800.32,34.23562806,23.4012678,18.79761236,19.65629052,2.410038932,0.228251824,728.9443946,0.537244475,-623.9951489,-739.0851667,-854.1751844,-0.822652512,56.90920737,0.768910806,0.896257785,0.910300687,-384.25,95,50,45,101.9043098,-574775.915,0.132997863,-21.06295651,8.787346943,130.75,-2554.11,-0.224525838,-0.388964107,0.339665844,-0.050135934
2000-06-14,819.27,814.05,821.13,792.3,1.193361924,1,438193,28.83,35.06121788,821.13,792.3,32.22469107,23.6607128,15.3241771,19.34685384,2.615967489,0.705794957,747.0597793,0.538285994,-623.4048387,-742.676,-861.9471613,-0.786003755,58.9289256,0.832461407,0.849213836,0.884736438,-357.28,90,45,45,86.30235932,-193123.9473,0.156160726,-7.296435589,4.280337919,-210.86,-2272.24,-0.176183124,-0.368699252,0.347358408,0.018254886
2000-06-15,770.95,814.62,814.62,770.7,-0.567578454,-1,380637,48.57,36.02613089,819.27,770.7,29.12128346,25.66493946,6.308783139,18.41556308,2.254337367,1.015503439,762.6390102,0.55289218,-624.1861729,-744.8958333,-865.6054937,-0.667871817,50.60113218,0.62525729,0.742209834,0.829227152,-405.6,85,40,45,49.14352754,-569427.6481,0.131972899,-16.21743551,1.773744193,-374.35,-2114.54,-0.134808845,-0.346423975,0.319238723,-0.060790179
2000-06-16,759.04,759.58,775.26,753.96,-1.474803813,-1,317142,21.3,34.97426439,775.26,753.96,27.85439056,27.96745976,0.202553657,17.11463384,1.823723283,1.177147408,858.34,0.552252715,-627.6617071,-747.5223333,-867.3829595,-0.563536294,48.77160857,0.574185249,0.677301315,0.756241662,-421.82,80,35,45,18.75588777,-735294.403,0.097981313,-18.8390374,-2.271078968,-470.53,-2019.46,-0.100923398,-0.323042968,0.31373197,-0.015569044
2000-06-19,755.38,748.47,777.13,744.9,-1.392548482,-1,270286,32.23,34.77824551,777.13,744.9,26.01046695,27.97692593,3.642441077,16.15233435,1.427633025,1.227244531,858.34,0.552222736,-630.2995601,-749.5271667,-868.7547733,-0.540298972,48.19493087,0.457219674,0.552220738,0.657243962,-443.57,75,30,45,12.06607051,-829806.4483,0.060109535,-4.286823957,-4.018889583,-590.75,-1914.03,-0.073810246,-0.299306518,0.32186324,-0.004833543
2000-06-20,785.32,772.98,785.32,764.98,2.329953136,1,340771,29.94,34.43265654,785.32,755.38,26.0939607,26.23921971,0.2775658,15.01842231,1.408702423,1.26353611,853.8024,0.55775741,-635.9187855,-753.4793333,-871.0398811,-0.606586211,53.08212716,0.514171657,0.515192193,0.581571415,-413.63,70,25,45,32.59767226,-489035.4483,0.118863551,8.436923917,-4.371916197,-723.51,-1780.78,-0.048962131,-0.275464195,0.311028846,0.038870344
2000-06-21,781.87,793.67,799.44,780.68,1.063260836,1,529238,18.76,33.31318108,799.44,780.68,28.07199468,25.18371103,5.423425725,14.33306541,1.342159622,1.279260812,849.446304,0.55553793,-644.956498,-758.7086667,-872.4608354,-0.62580566,52.46789417,0.438133725,0.469841685,0.512418205,-431.2,65,20,45,39.88530142,-951131.314,0.070058832,5.285176046,-4.644036982,-811.76,-1675.98,-0.026784509,-0.251780416,0.309957558,-0.004402792
2000-06-22,782.24,795.08,804.2,771.06,1.689539182,1,369638,33.14,33.300811,804.2,771.06,26.07644036,25.45701597,1.20198494,13.39513109,1.278412776,1.279091205,845.2644518,0.554649504,-657.9455651,-764.5258333,-871.1061016,-0.599959872,52.53133358,0.32916079,0.427155391,0.470729756,-420.02,60,15,45,32.78738976,-1071369.625,0.042772018,-2.17862341,-4.33331182,-997.52,-1533.01,-0.007094874,-0.228477031,0.319792509,0.000473113
